,Predicted_Price,Date
219,7766.851,2025-06-05
220,7858.4985,2025-06-06
221,7897.2134,2025-06-07
222,7767.502,2025-06-08
223,7642.6934,2025-06-09
224,7590.5625,2025-06-10
225,7685.8345,2025-06-11
226,7806.46,2025-06-12
227,7871.933,2025-06-13
228,7777.617,2025-06-14
229,7737.635,2025-06-15
230,7754.332,2025-06-16
231,7666.823,2025-06-17
232,7734.583,2025-06-18
233,7619.4897,2025-06-19
234,7543.4507,2025-06-20
235,7699.683,2025-06-21
236,7852.356,2025-06-22
237,7973.654,2025-06-23
238,8002.703,2025-06-24
239,7895.4917,2025-06-25
240,7817.151,2025-06-26
241,7964.7793,2025-06-27
242,8068.4346,2025-06-28
243,8052.8374,2025-06-29
244,8140.2505,2025-06-30
245,8068.6787,2025-07-01
246,8052.0054,2025-07-02
247,8117.266,2025-07-03
248,7990.288,2025-07-04
249,7877.1123,2025-07-05
250,7821.6772,2025-07-06
251,7890.8794,2025-07-07
252,7807.13,2025-07-08
253,7939.693,2025-07-09
254,8019.9688,2025-07-10
255,8061.681,2025-07-11
256,7969.2056,2025-07-12
257,8021.254,2025-07-13
258,7876.3467,2025-07-14
259,7817.1787,2025-07-15
260,7863.728,2025-07-16
261,7724.024,2025-07-17
262,7609.978,2025-07-18
263,7518.556,2025-07-19
264,7599.772,2025-07-20
265,7594.8086,2025-07-21
266,7751.008,2025-07-22
267,7849.6484,2025-07-23
268,7772.316,2025-07-24
269,7865.2417,2025-07-25
270,7780.5117,2025-07-26
271,7816.3213,2025-07-27
272,7713.4785,2025-07-28
273,7655.1006,2025-07-29
274,7757.312,2025-07-30
275,7705.4917,2025-07-31
276,7860.887,2025-08-01
277,7939.676,2025-08-02
278,7798.0664,2025-08-03
279,7750.201,2025-08-04
280,7749.253,2025-08-05
281,7600.381,2025-08-06
282,7541.24,2025-08-07
283,7667.5967,2025-08-08
284,7702.8525,2025-08-09
285,7653.8276,2025-08-10
286,7729.5513,2025-08-11
287,7780.4604,2025-08-12
288,7737.062,2025-08-13
289,7819.8623,2025-08-14
290,7780.1772,2025-08-15
291,7828.817,2025-08-16
292,7799.2876,2025-08-17
293,7868.712,2025-08-18
294,7903.892,2025-08-19
295,7782.9956,2025-08-20
